isin,company_name,category,corrected_from_rev1
INE669E01016,VODAFONE IDEA LTD,State,
INE670A01012,TATA ELXSI LTD,Professional,
INE670K01029,LODHA DEVELOPERS LTD,Owner,
INE671A01010,HONEYWELL AUTOMATION INDIA,MNC,
INE671H01015,SOBHA LTD,Owner,
INE674K01013,ADITYA BIRLA CAPITAL LTD,Owner,
INE679A01013,CSB BANK LTD,Professional,
INE679V01027,ADITYA VISION LTD,Owner,
INE683A01023,SOUTH INDIAN BANK LTD,Professional,
INE684F01012,FIRSTSOURCE SOLUTIONS LTD,Owner,
INE685A01028,TORRENT PHARMACEUTICALS LTD,Owner,
INE686F01025,UNITED BREWERIES LTD,MNC,
INE686Y01026,FINE ORGANIC INDUSTRIES LTD,Owner,
INE688D01026,RESPONSIVE INDUSTRIES LTD,Owner,
INE690A01028,TTK PRESTIGE LTD,Owner,
INE691A01018,UCO BANK,State,
INE692A01016,UNION BANK OF INDIA,State,
INE702C01027,APL APOLLO TUBES LTD,Owner,
INE703B01027,RATNAMANI METALS & TUBES LTD,Owner,
INE704P01025,COCHIN SHIPYARD LTD,State,
INE716A01013,WHIRLPOOL OF INDIA LTD,MNC,
INE721A01047,SHRIRAM FINANCE LTD,Owner,
INE725A01030,NAVA LTD,Owner,
INE726G01019,ICICI PRUDENTIAL LIFE INSURA,Professional,
INE731H01025,ACTION CONSTRUCTION EQUIPMEN,Owner,
INE732I01021,ANGEL ONE LTD,Owner,
INE733E01010,NTPC LTD,State,
INE735W01017,UTKARSH SMALL FINANCE BANK L,abb,
INE736A01011,CENTRAL DEPOSITORY SERVICES,Professional,
INE738I01010,ECLERX SERVICES LTD,Owner,
INE739E01017,CERA SANITARYWARE LTD,Owner,
INE741K01010,CREDITACCESS GRAMEEN LTD,Professional,
INE742F01042,ADANI PORTS AND SPECIAL ECON,Owner,
INE743M01012,RHI MAGNESITA INDIA LTD,MNC,
INE745G01043,MULTI COMMODITY EXCH INDIA,Professional,
INE750C01026,MARKSANS PHARMA LTD,Owner,
INE752E01010,POWER GRID CORP OF INDIA LTD,State,
INE752P01024,FUTURE RETAIL LTD,Owner,
INE758E01017,JIO FINANCIAL SERVICES LTD,Owner,
INE758T01015,ETERNAL LTD,Professional,
INE759A01021,MASTEK LTD,Owner,
INE761H01022,PAGE INDUSTRIES LTD,Owner,
INE763G01038,ICICI SECURITIES LTD,Professional,
INE765G01017,ICICI LOMBARD GENERAL INSURA,Professional,
INE767A01016,AARTI DRUGS LTD,Owner,
INE769A01020,AARTI INDUSTRIES LIMITED,Owner,
INE774D01024,MAHINDRA & MAHINDRA FIN SECS,Owner,
INE775A01035,SAMVARDHANA MOTHERSON INTERN,Owner,
INE778U01029,TCNS CLOTHING CO LTD,Owner,
INE780C01023,JM FINANCIAL LTD,Owner,
INE786A01032,JK LAKSHMI CEMENT LTD,Owner,
INE787D01026,BALKRISHNA INDUSTRIES LTD,Owner,
INE789E01012,JK PAPER LTD,Owner,
INE795G01014,HDFC LIFE INSURANCE CO LTD,Professional,
INE797F01020,JUBILANT FOODWORKS LTD,Owner,
INE800H01010,OMAXE LTD,Owner,
INE802C01033,STEEL STRIPS WHEELS LTD,Owner,
INE804L01022,MEDPLUS HEALTH SERVICES LTD,Owner,
INE805D01034,SUNTECK REALTY LTD,Owner,
INE806T01020,SAPPHIRE FOODS INDIA LTD,Professional,
INE810G01011,SHYAM METALICS & ENERGY LTD,Owner,
INE811K01011,PRESTIGE ESTATES PROJECTS,Owner,
INE813H01021,TORRENT POWER LTD,Owner,
INE814H01029,ADANI POWER LTD,Owner,
INE821I01022,IRB INFRASTRUCTURE DEVELOPER,Owner,
INE823G01014,JK CEMENT LTD,Owner,
INE825V01034,VEDANT FASHIONS LTD,Owner,
INE834M01019,RATTANINDIA ENTERPRISES LTD,Owner,
INE836A01035,BIRLASOFT LTD,Owner,
INE836F01026,DISH TV INDIA LTD,Owner,
INE839M01018,SCHNEIDER ELECTRIC INFRASTRU,MNC,
INE842C01021,MINDA CORP LTD,Owner,
INE844O01030,GUJARAT GAS LTD,State,
INE848E01016,NHPC LTD,State,
INE849A01020,TRENT LTD,Professional,
INE852O01025,APTUS VALUE HOUSING FINANCE,Owner,
INE854D01024,UNITED SPIRITS LTD,MNC,
INE855B01025,RAIN INDUSTRIES LTD,Owner,
INE860A01027,HCL TECHNOLOGIES LTD,Owner,
INE864I01014,MTAR TECHNOLOGIES LTD,Owner,
INE868B01028,NCC LTD,Owner,
INE870D01012,NATIONAL FERTILIZERS LTD,State,
INE870H01013,NETWORK 18 MEDIA & INVTS LTD,Professional,
INE871C01038,AVANTI FEEDS LTD,Owner,
INE872J01023,DEVYANI INTERNATIONAL LTD,Owner,
INE876N01018,ORIENT CEMENT LTD,Owner,
INE877F01012,PTC INDIA LTD,State,
INE878B01027,KEI INDUSTRIES LTD,Owner,
INE880L01014,KIOCL LTD,State,
INE881D01027,ORACLE FINANCIAL SERVICES,MNC,
INE883A01011,MRF LTD,Owner,
INE883N01014,PARAG MILK FOODS LTD,Owner,
INE884A01027,VAIBHAV GLOBAL LTD,Owner,
INE886H01027,TV18 BROADCAST LTD,Owner,
INE887G01027,GOKALDAS EXPORTS LTD,Professional,
INE891D01026,REDINGTON LTD,MNC,
INE913H01037,ENDURANCE TECHNOLOGIES LTD,Owner,
INE914M01019,ASTER DM HEALTHCARE LTD,Owner,
INE917I01010,BAJAJ AUTO LTD,Owner,
INE917M01012,DILIP BUILDCON LTD,Owner,
INE918I01026,BAJAJ FINSERV LTD,Owner,
INE918Z01012,KAYNES TECHNOLOGY INDIA LTD,Owner,
INE925R01014,CMS INFO SYSTEMS LTD,Professional,
INE927D01051,JBM AUTO LTD,Owner,
INE930H01031,KPR MILL LTD,Owner,
INE930P01018,ANUPAM RASAYAN INDIA LTD,Owner,
INE933K01021,BAJAJ CONSUMER CARE LTD,Owner,
INE933S01016,INDIAMART INTERMESH LTD,Owner,
INE935A01035,GLENMARK PHARMACEUTICALS LTD,Owner,
INE935N01020,DIXON TECHNOLOGIES INDIA LTD,Owner,
INE939A01011,STRIDES PHARMA SCIENCE LTD,Owner,
INE944F01028,RADICO KHAITAN LTD,Owner,
INE947Q01028,LAURUS LABS LTD,Owner,
INE949H01023,MAN INFRACONSTRUCTION LTD,Owner,
INE949L01017,AU SMALL FINANCE BANK LTD,Owner,
INE951I01027,V-GUARD INDUSTRIES LTD,Owner,
INE953O01021,SANSERA ENGINEERING LTD,Owner,
INE955D01029,GENUS POWER INFRASTRUCTURES,Owner,
INE961O01016,RAINBOW CHILDREN'S MEDICARE,Owner,
INE962Y01021,IRCON INTERNATIONAL LTD,State,
INE967H01025,KRISHNA INSTITUTE OF MEDICAL,Owner,
INE970X01018,LEMON TREE HOTELS LTD,Owner,
INE974X01010,TUBE INVESTMENTS OF INDIA LT,Owner,
INE976A01021,WEST COAST PAPER MILLS LTD,Owner,
INE976G01028,RBL BANK LTD,Professional,
INE979A01025,SAREGAMA INDIA LTD,Owner,
INE982F01036,HATHWAY CABLE AND DATACOM,Owner,
INE982J01020,ONE 97 COMMUNICATIONS LTD,Professional,
INE987B01026,NATCO PHARMA LTD,Owner,
INE999A01023,KSB LTD,MNC,
